entity_num,alt_num,alt_type,alt_name,alt_remarks
18272,28217.0,aka,ROSSISKOE AGENTSTVO PO STRAKHOVANIYU EKSPORTNYKH KREDITOV I INVESTITSI OTKRYTOE AKTSIONERNOE OBSHCHESTVO,-0- 
18272,28218.0,aka,RUSSIAN AGENCY FOR EXPORT CREDIT AND INVESTMENT INSURANCE JSC,-0- 
18272,28219.0,aka,EXIAR OJSC,-0- 
18272,54910.0,aka,EXIAR,-0- 
18272,54911.0,aka,EXIAR JSC,-0- 
18273,28221.0,fka,JSC FAR EAST AND ARCTIC REGION DEVELOPMENT FUND,-0- 
18273,28224.0,fka,OJSC THE FAR EAST AND BAIKAL REGION DEVELOPMENT FUND,-0- 
18273,55112.0,aka,AO VEB.DV,-0- 
18273,55113.0,fka,FAR EAST AND BAIKAL REGION DEVELOPMENT FUND OJSC,-0- 
18274,28226.0,aka,VANKORNEFT,-0- 
18274,28227.0,aka,ZAO VANKORNEFT,-0- 
18275,28229.0,aka,"FTSPF, OAO",-0- 
18275,28230.0,aka,OAO FEDERALNY TSENTR PROEKTNOGO FINANSIROVANIYA,-0- 
18275,28232.0,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO FEDERALNY CENTR PROEKTNOGO FINANSIROVANIYA,-0- 
18276,28234.0,aka,YUGANSKNEFTEGAZ,-0- 
18276,28235.0,aka,RN-YUGANSKNEFTEGAZ OOO,-0- 
18277,28238.0,aka,"GLOBEX COMMERCIAL BANK, JOINT STOCK COMPANY",-0- 
18277,28239.0,aka,"GLOBEKSBANK, AO",-0- 
18277,28240.0,aka,AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,-0- 
18277,28241.0,fka,CJSC GLOBEXBANK,-0- 
18277,28242.0,fka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KOMMERCHESKI BANK GLOBEKS,-0- 
18278,28244.0,aka,"KRASLESINVEST, ZAO",-0- 
18278,28245.0,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO KRASLESINVEST,-0- 
18278,28246.0,aka,THE CLOSED JOINT-STOCK COMPANY KRASLESINVEST,-0- 
18278,28247.0,aka,CJSC KRASLESINVEST,-0- 
18279,28250.0,aka,LIMITED LIABILITY COMPANY RDIF MANAGEMENT COMPANY,-0- 
18279,28253.0,aka,RDIF MANAGEMENT COMPANY LLC,-0- 
18279,28254.0,aka,"UK RFPI, OOO",-0- 
18279,28255.0,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU UPRAVLYAYUSHCHAYA KOMPANIYA RFPI,-0- 
18279,28331.0,aka,MANAGEMENT COMPANY RDIF LLC,-0- 
18279,28332.0,aka,RDIF MANAGEMENT COMPANY,-0- 
18280,28252.0,aka,ANGARSK REFINERY,-0- 
